0:0:0:0:0:0:0:1 - - [27/May/2017:09:36:11 +0530] "GET /EmployeePortal/Employee HTTP/1.1" 200 8690
0:0:0:0:0:0:0:1 - - [27/May/2017:09:36:11 +0530] "GET /EmployeePortal/Employee HTTP/1.1" 200 8690
0:0:0:0:0:0:0:1 - - [27/May/2017:09:36:12 +0530] "GET /EmployeePortal/Employee HTTP/1.1" 200 8690
0:0:0:0:0:0:0:1 - - [27/May/2017:09:36:12 +0530] "GET /EmployeePortal/Employee HTTP/1.1" 200 8690
0:0:0:0:0:0:0:1 - - [27/May/2017:09:36:12 +0530] "GET /EmployeePortal/Employee HTTP/1.1" 200 8690
0:0:0:0:0:0:0:1 - - [27/May/2017:09:36:12 +0530] "GET /EmployeePortal/Employee HTTP/1.1" 200 8690
0:0:0:0:0:0:0:1 - - [27/May/2017:09:36:12 +0530] "GET /EmployeePortal/Employee HTTP/1.1" 200 8690
0:0:0:0:0:0:0:1 - - [27/May/2017:09:36:13 +0530] "GET /EmployeePortal/Employee HTTP/1.1" 200 8690
0:0:0:0:0:0:0:1 - - [27/May/2017:09:36:13 +0530] "GET /EmployeePortal/Employee HTTP/1.1" 200 8690
0:0:0:0:0:0:0:1 - - [27/May/2017:09:36:13 +0530] "GET /EmployeePortal/Employee HTTP/1.1" 200 8690
0:0:0:0:0:0:0:1 - - [27/May/2017:09:36:13 +0530] "GET /EmployeePortal/Employee HTTP/1.1" 200 8690
0:0:0:0:0:0:0:1 - - [27/May/2017:09:36:13 +0530] "GET /EmployeePortal/Employee HTTP/1.1" 200 8690
0:0:0:0:0:0:0:1 - - [27/May/2017:09:36:13 +0530] "GET /EmployeePortal/Employee HTTP/1.1" 200 8690
0:0:0:0:0:0:0:1 - - [27/May/2017:09:36:15 +0530] "GET /EmployeePortal/Logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2017:09:36:15 +0530] "GET /EmployeePortal/Prelogin HTTP/1.1" 200 3128
0:0:0:0:0:0:0:1 - - [27/May/2017:09:37:30 +0530] "POST /EmployeePortal/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2017:09:37:30 +0530] "GET /EmployeePortal/Employee HTTP/1.1" 200 8690
0:0:0:0:0:0:0:1 - - [27/May/2017:09:39:28 +0530] "GET /EmployeePortal/Employee HTTP/1.1" 200 8737
0:0:0:0:0:0:0:1 - - [27/May/2017:09:39:29 +0530] "GET /EmployeePortal/Employee HTTP/1.1" 200 8737
0:0:0:0:0:0:0:1 - - [27/May/2017:09:39:29 +0530] "GET /EmployeePortal/Employee HTTP/1.1" 200 8737
0:0:0:0:0:0:0:1 - - [27/May/2017:09:39:29 +0530] "GET /EmployeePortal/Employee HTTP/1.1" 200 8737
